"treatment","sample_year","shannon_Mean","shannon_SD","shannon_SE","pielou_Mean","pielou_SD","pielou_SE","richness_Mean","richness_SD","richness_SE","abundance_Mean","abundance_SD","abundance_SE"
"Control","2016",0.39397344079678,0.359446600868871,0.0575575205886463,0.360666414882237,0.264168904322289,0.0466989059062278,3.58974358974359,2.35883500145783,0.377715893914262,86.6491916442821,6.20152622015067,0.993038944406568
"Control","2017",0.487645795806098,0.379483161376597,0.0607659380313524,0.454927390242618,0.279737647615756,0.0479746107771959,3.35897435897436,2.09620182193237,0.335660927748891,83.2861852230769,8.73600980099523,1.39888112105651
"Control","2018",0.179424619909742,0.254861415418679,0.0413439810006158,0.194358348834023,0.210386276238885,0.0390677507139905,2.76315789473684,1.6511128192716,0.267845867989459,90.6265300251053,8.75988535587934,1.4210410513733
"Control","2019",0.411173193103949,0.29710853067169,0.0481973680756343,0.33770153256008,0.229578379865987,0.0377424531571729,3.44736842105263,1.10764831039295,0.179684283025032,79.9524031782105,11.7646144937047,1.90847248222434
"Control","2020",0.491760716337618,0.409676977063607,0.0702590219318686,0.444176105853632,0.341395105017707,0.0603506984554785,3.55882352941176,1.41830407626959,0.243237142382087,61.6844288318824,20.5506523745169,3.52440780598519
"Treatment","2016",0.379613492669256,0.402009543490868,0.06278334272209,0.274562733498374,0.243628976148463,0.038521123432199,3.82926829268293,1.92226999956289,0.300208137197346,84.6320165468537,5.51157316016742,0.860763114347618
"Treatment","2017",0.24449312852282,0.359616922512811,0.056162727627629,0.343526215589211,0.335083776946288,0.0644869029403387,2.1219512195122,1.28831521669232,0.201201033889174,35.8295022170732,29.1497638549892,4.55242827939818
"Treatment","2018",0.357753971988565,0.365307910879533,0.0570515106897243,0.525815313093501,0.287468370644581,0.0553233137250506,2.29268292682927,1.28926146376568,0.201348812854297,68.7942516643171,31.982220119019,4.99478362953667
"Treatment","2019",0.900548004994005,0.395931473402166,0.0618341076513148,0.632397207238624,0.21583387673468,0.0337075884726566,4.58536585365854,1.81625452175759,0.283651301210073,53.9484072336098,31.5316232481932,4.92441222112457
"Treatment","2020",0.787254079113266,0.462536023652084,0.0722359908227432,0.523208496612689,0.268524793091132,0.0419365270974017,4.65853658536585,1.93144707534999,0.301641355646155,77.239443366561,28.4975108390925,4.4505634722024
"Treatment","2021",0.861418211028013,0.504822952096169,0.0798195171876983,0.606664380568593,0.261461637102158,0.0424146783418878,4.475,1.94787853040963,0.307986638071799,71.98061696865,32.1532051838674,5.0838681227877
